iter	Passed	Remaining
318	1565	1378
319	1569	1373
320	1574	1368
321	1579	1363
322	1584	1358
323	1588	1353
324	1593	1347
325	1597	1342
326	1603	1338
327	1607	1333
328	1611	1327
329	1616	1322
330	1621	1317
331	1626	1312
332	1630	1307
333	1635	1302
334	1639	1297
335	1643	1291
336	1648	1286
337	1653	1281
338	1657	1276
339	1662	1270
340	1666	1265
341	1670	1260
342	1675	1255
343	1679	1250
344	1683	1244
345	1688	1239
346	1693	1234
347	1698	1229
348	1702	1224
349	1707	1219
350	1711	1214
351	1715	1208
352	1720	1204
353	1726	1199
354	1731	1194
355	1737	1190
356	1742	1186
357	1748	1182
358	1754	1177
359	1759	1172
360	1764	1168
361	1769	1163
362	1773	1157
363	1778	1153
364	1783	1148
365	1787	1142
366	1792	1137
367	1797	1133
368	1801	1127
369	1805	1122
370	1810	1117
371	1816	1113
372	1821	1108
373	1826	1103
374	1831	1098
375	1836	1093
376	1840	1088
377	1845	1084
378	1851	1079
379	1856	1074
380	1862	1070
381	1866	1065
382	1871	1060
383	1877	1056
384	1882	1051
385	1887	1046
386	1893	1042
387	1898	1037
388	1903	1032
389	1909	1028
390	1914	1023
391	1919	1018
392	1923	1013
393	1928	1008
394	1933	1003
395	1938	998
396	1942	993
397	1947	988
398	1951	983
399	1956	978
400	1960	973
401	1965	968
402	1969	962
403	1974	958
404	1980	953
405	1984	948
406	1989	943
407	1993	938
408	1998	933
409	2002	928
410	2007	923
411	2012	918
412	2017	913
413	2021	908
414	2026	903
415	2032	899
416	2038	894
417	2043	889
418	2047	884
419	2052	879
420	2058	875
421	2063	870
422	2068	865
423	2073	860
424	2078	855
425	2082	850
426	2087	845
427	2092	840
428	2096	835
429	2101	830
430	2106	825
431	2110	820
432	2115	815
433	2120	810
434	2125	806
435	2129	800
436	2134	796
437	2139	791
438	2143	786
439	2148	781
440	2153	776
441	2159	771
442	2164	767
443	2169	762
444	2175	757
445	2181	753
446	2186	748
447	2191	743
448	2197	738
449	2202	734
450	2208	729
451	2213	724
452	2218	719
453	2223	715
454	2228	710
455	2233	705
456	2239	700
457	2244	695
458	2249	691
459	2254	686
460	2259	681
461	2264	676
462	2269	671
463	2274	666
464	2278	661
465	2283	656
466	2290	652
467	2296	647
468	2301	642
469	2306	637
470	2311	633
471	2315	628
472	2321	623
473	2325	618
474	2329	613
475	2334	608
476	2339	603
477	2344	598
478	2348	593
479	2353	588
480	2358	583
481	2362	578
482	2367	573
483	2372	568
484	2376	563
485	2381	558
486	2386	553
487	2390	548
488	2395	543
489	2400	538
490	2404	533
491	2409	528
492	2414	524
493	2419	519
494	2423	514
495	2428	509
496	2433	504
497	2438	499
498	2443	494
499	2448	489
500	2454	484
501	2458	480
502	2463	475
503	2468	470
504	2473	465
505	2477	460
506	2482	455
507	2487	450
508	2493	445
509	2498	440
510	2503	436
511	2508	431
512	2512	426
513	2518	421
514	2522	416
515	2527	411
516	2532	406
517	2536	401
518	2541	396
519	2546	391
520	2552	387
521	2557	382
522	2562	377
523	2567	372
524	2572	367
525	2577	362
526	2584	357
527	2590	353
528	2597	348
529	2604	343
530	2611	339
531	2618	334
532	2625	330
533	2632	325
534	2638	320
535	2644	315
536	2649	310
537	2653	305
538	2658	300
539	2663	295
540	2668	291
541	2673	286
542	2677	281
543	2682	276
544	2687	271
545	2692	266
546	2696	261
547	2701	256
548	2706	251
549	2710	246
550	2715	241
551	2719	236
552	2724	231
553	2728	226
554	2733	221
555	2737	216
556	2742	211
557	2747	206
558	2751	201
559	2756	196
560	2761	191
561	2765	187
562	2770	182
563	2775	177
564	2780	172
565	2785	167
566	2789	162
567	2793	157
568	2798	152
569	2803	147
570	2808	142
571	2812	137
572	2816	132
573	2821	127
574	2826	122
575	2830	117
576	2835	113
577	2840	108
578	2844	103
579	2849	98
580	2853	93
581	2858	88
582	2863	83
583	2867	78
584	2872	73
585	2876	68
586	2881	63
587	2886	58
588	2889	53
589	2894	49
590	2898	44
591	2903	39
592	2908	34
593	2915	29
594	2919	24
595	2924	19
596	2929	14
597	2934	9
598	2938	4
599	2943	0
