iter	Poisson
198	0.7602670593
199	0.7602347414
200	0.7600638537
201	0.7598898734
202	0.7598053664
203	0.7597775243
204	0.7597050746
205	0.7596861033
206	0.7595871471
207	0.7594506448
208	0.7591100346
209	0.7589679892
210	0.7588014972
211	0.7586249951
212	0.7584673528
213	0.7583036189
214	0.7581207583
215	0.7580226451
216	0.7578319577
217	0.7577707021
218	0.7576342038
219	0.7574397469
220	0.7570522001
221	0.7566544775
222	0.7564424513
223	0.7562440674
224	0.7560571438
225	0.7559371061
226	0.7556959576
227	0.7556163596
228	0.7554453683
229	0.7553216972
230	0.7551758318
231	0.7550543949
232	0.755037994
233	0.754761376
234	0.7545581673
235	0.75436639
236	0.7541803623
237	0.754008473
238	0.7537904737
239	0.7535616045
240	0.7533612423
241	0.7530345379
242	0.7528760492
243	0.7526319334
244	0.7525464798
245	0.7523200885
246	0.7520340241
247	0.7518220629
248	0.7516729536
249	0.7514461794
250	0.7512963562
251	0.7512073604
252	0.7510623144
253	0.750902988
254	0.7507847785
255	0.7507644621
256	0.7506380344
257	0.7504918963
258	0.7503021547
259	0.7500774928
260	0.7497915373
261	0.7496483603
262	0.7495019689
263	0.7491853506
264	0.7489097445
265	0.7487735185
266	0.748534061
267	0.7481866486
268	0.7481720662
269	0.7480146443
270	0.7477076823
271	0.7475217629
272	0.7474006111
273	0.7471919033
274	0.7470197822
275	0.7468755436
276	0.7466844147
277	0.7465568524
278	0.7463212555
279	0.7460747274
280	0.7458960593
281	0.7457489774
282	0.7455973875
283	0.7453234891
284	0.7450916275
285	0.7448825591
286	0.74467765
287	0.7445299176
288	0.7442823107
289	0.7441698416
290	0.7439616139
291	0.7437450058
292	0.7436262326
293	0.7435283348
294	0.743311099
295	0.7432997514
296	0.7430959917
297	0.7427975969
298	0.7426603223
299	0.7424696273
300	0.742079078
301	0.7420691561
302	0.7419062757
303	0.7417542278
304	0.7415067362
305	0.7412691642
306	0.7410651154
307	0.7410551668
308	0.7408693656
309	0.7406396345
310	0.7404984156
311	0.7403366912
312	0.7401676016
313	0.7399567938
314	0.7398452407
315	0.7397242094
316	0.7394177866
317	0.7392324168
318	0.7389818671
319	0.7387117715
320	0.738510501
321	0.7382674673
322	0.7381456642
323	0.7379014082
324	0.73789353
325	0.7377275299
326	0.7374926772
327	0.7373798009
328	0.7372560005
329	0.7370765847
330	0.7368541384
331	0.7366243524
332	0.7365495713
333	0.7363734609
334	0.7359716408
335	0.735958987
336	0.7357966242
337	0.7356886258
338	0.7355613626
339	0.7355533975
340	0.7353273655
341	0.7351871264
342	0.7350227287
343	0.7347681104
344	0.7347626077
345	0.7346559418
346	0.7344545677
347	0.7342775208
348	0.7341753938
349	0.7340164982
350	0.7339785246
351	0.7338831885
352	0.7337184621
353	0.7337115311
354	0.7335201312
355	0.7332364933
356	0.7331047261
357	0.7327500419
358	0.7325982629
359	0.7324728051
360	0.7322288501
361	0.7320305147
362	0.7318795117
363	0.7317019197
364	0.7315345363
365	0.7313292666
366	0.7311774046
367	0.7309314304
368	0.7309227449
369	0.7307198821
370	0.7305753562
371	0.7303704338
372	0.7301009702
373	0.7297563232
374	0.7296083894
375	0.7294650319
376	0.729328881
377	0.7291906275
378	0.7290823652
379	0.7288818119
380	0.7286568897
381	0.7285546047
382	0.7283951518
383	0.728110927
384	0.7278833123
385	0.7276862204
386	0.7275043316
387	0.7274349898
388	0.7272886827
389	0.7271680638
390	0.7270366946
391	0.7268517602
392	0.7266845684
393	0.7265496672
394	0.7264148254
395	0.7262955375
396	0.7261499107
397	0.726024594
398	0.7258856952
399	0.7257247256
400	0.7255144258
401	0.7254168181
402	0.7251194993
403	0.7248922395
404	0.7247692567
405	0.7246506118
406	0.7243920791
407	0.7242270411
408	0.7240538196
409	0.7238838582
410	0.7236236649
411	0.7234688368
412	0.723398931
413	0.7232038753
414	0.7230410211
415	0.7230059217
416	0.722921226
417	0.7227435399
418	0.7225666306
419	0.7223928263
420	0.722251356
421	0.7221415729
422	0.721781912
423	0.7216650878
424	0.7214777222
425	0.7214287069
426	0.7212696094
427	0.7211093553
428	0.7210992669
429	0.7209487151
430	0.7207323947
431	0.7205425722
432	0.7202304644
433	0.7200491151
434	0.7198655465
435	0.719713022
436	0.7194707382
437	0.7192972723
438	0.719186058
439	0.7191063008
440	0.7189376968
441	0.7187378314
442	0.7185720939
443	0.7184436631
444	0.7182797149
445	0.7181433747
446	0.7180186729
447	0.7178453768
448	0.7177272082
449	0.7175661357
450	0.7173782725
451	0.7171711889
452	0.7168942713
453	0.7167637775
454	0.7166801073
455	0.7165067184
456	0.7163653916
457	0.7161768737
458	0.7159369195
459	0.7157434271
460	0.7156338574
461	0.7153894411
462	0.7150822949
463	0.7148571577
464	0.7146516613
465	0.7145277086
466	0.7143407842
467	0.7141606378
468	0.7140831071
469	0.7138943255
470	0.713687847
471	0.7135648477
472	0.7134325391
473	0.7133510257
474	0.7132885589
475	0.713148142
476	0.7129676326
477	0.7127004642
478	0.7126128125
479	0.7124092182
480	0.7122243513
481	0.7120674163
482	0.7119590578
483	0.7117617925
484	0.7115831791
485	0.7114070479
486	0.711276054
487	0.7112153776
488	0.7110854215
489	0.7109001354
490	0.7107647416
491	0.7105105325
492	0.7102890376
493	0.7101275932
494	0.7099883335
495	0.7098188861
496	0.7096735753
497	0.7094164969
498	0.7093351668
499	0.7091896654
500	0.7090209399
501	0.7088447045
502	0.7086783868
503	0.7085106866
504	0.7084155552
505	0.7082404099
506	0.7081388798
507	0.7079978343
508	0.7078464301
509	0.7076990763
510	0.7075520377
511	0.707421218
512	0.7072702103
513	0.7069801467
514	0.7068395806
515	0.7067302282
516	0.7065587053
517	0.7064427165
518	0.7062909522
519	0.7060905401
520	0.7058686467
521	0.7056823677
522	0.7054902782
523	0.705350681
524	0.7052375431
525	0.7050986612
526	0.7050118829
527	0.7047607754
528	0.7045793064
529	0.7044341162
530	0.7042481544
531	0.7041091628
532	0.7038982494
533	0.7037618485
534	0.7036688429
535	0.703524573
536	0.7033787921
537	0.7033139782
538	0.7031227697
539	0.7029325764
540	0.7026715266
541	0.7024484936
542	0.7023715514
543	0.702163311
544	0.7020345793
545	0.701877882
546	0.7016967477
547	0.7015925432
548	0.7014432729
549	0.7014387682
550	0.7013415375
551	0.7011238424
552	0.7010008162
553	0.7008770547
554	0.700748342
555	0.7006804193
556	0.7004746033
557	0.7002751157
558	0.7000739756
559	0.6998869813
560	0.6997128957
561	0.6995408147
562	0.6994175468
563	0.699253056
564	0.6990565491
565	0.6988944641
566	0.6987610876
567	0.6986280732
568	0.6984814847
569	0.6983086705
570	0.6981670798
571	0.6980184608
572	0.6979978547
573	0.6978728656
574	0.6977717853
575	0.6975944088
576	0.6974819972
577	0.6973290879
578	0.6972289899
579	0.6970404916
580	0.6969122349
581	0.6968516316
582	0.6967145423
583	0.6966102884
584	0.6965182983
585	0.6963667918
586	0.6962756147
587	0.6961740987
588	0.6961285975
589	0.6961127963
590	0.6959739606
591	0.6958549004
592	0.6957444023
593	0.6956015636
594	0.6954319387
595	0.6953197414
596	0.6952368205
597	0.695106909
598	0.6949275125
599	0.6948336284
