iter	Poisson
0	0.9868886746
1	0.9732145076
2	0.961001693
3	0.9510184745
4	0.9408485061
5	0.9318078919
6	0.9232071716
7	0.9161610004
8	0.9091506725
9	0.9022935798
10	0.8956357127
11	0.8901327879
12	0.8848636168
13	0.8797518165
14	0.8754395885
15	0.871378467
16	0.8665798556
17	0.8625707017
18	0.8588584397
19	0.8552318902
20	0.8518991939
21	0.8491817196
22	0.8460638317
23	0.8431969286
24	0.8407063207
25	0.8381872058
26	0.836047482
27	0.8339376796
28	0.8315831019
29	0.8292013925
30	0.826917878
31	0.8251045593
32	0.8231238283
33	0.8215091642
34	0.8198933675
35	0.8182778899
36	0.8169035974
37	0.8151966968
38	0.8137005096
39	0.8124973763
40	0.8114060151
41	0.8103111066
42	0.8092320004
43	0.8083802047
44	0.8074384435
45	0.806782839
46	0.8058013675
47	0.8050426017
48	0.8042677522
49	0.8034586118
50	0.8028148627
51	0.8023129374
52	0.8015983407
53	0.8010181987
54	0.8003675208
55	0.7996239401
56	0.7991385353
57	0.798597381
58	0.7980167709
59	0.7974932336
60	0.7968562176
61	0.7964586016
62	0.7960055483
63	0.7954931633
64	0.7950823314
65	0.7946280343
66	0.7941789976
67	0.7937108859
68	0.7932185145
69	0.7926418335
70	0.7920332674
71	0.7917509473
72	0.7913029005
73	0.790966394
74	0.7904937155
75	0.7900361357
76	0.7893692908
77	0.788916677
78	0.7886814653
79	0.788298173
80	0.7878612554
81	0.7874683813
82	0.7872314488
83	0.7868562126
84	0.786600779
85	0.7862733995
86	0.7860766152
87	0.7857846273
88	0.7854417704
89	0.7850589571
90	0.7848155694
91	0.7844435183
92	0.7839783269
93	0.7836789188
94	0.7834530691
95	0.7830920193
96	0.7827998052
97	0.7825708117
98	0.7824368025
99	0.7821803815
100	0.7820298535
101	0.7817286901
102	0.781556216
103	0.7811515216
104	0.7808107274
105	0.7804680671
106	0.7802389696
107	0.7800583099
108	0.7798210825
109	0.7794709243
110	0.7792067343
111	0.7789006553
112	0.778672166
113	0.7784773603
114	0.7780149456
115	0.7777217976
116	0.7775455904
117	0.7773712168
118	0.7770789387
119	0.7768807679
120	0.7767606083
121	0.7766130298
122	0.7761751442
123	0.775883069
124	0.7757001608
125	0.7754549499
126	0.7751989491
127	0.7748363318
128	0.7746784608
129	0.774296415
130	0.7741035475
131	0.7738614896
132	0.7736854325
133	0.7735449493
134	0.7732614932
135	0.7731531185
136	0.7729077712
137	0.7726587476
138	0.7724951796
139	0.772213937
140	0.7720629114
141	0.771825886
142	0.7714661982
143	0.7713022889
144	0.7711601461
145	0.770955596
146	0.7707694064
147	0.7706881223
148	0.7705529184
149	0.7703463631
150	0.7701513241
151	0.7699857468
152	0.7698007292
153	0.7696557233
154	0.7694414587
155	0.769191996
156	0.7690208298
157	0.7688404239
158	0.7686740086
159	0.7684032506
160	0.7680639153
161	0.767734181
162	0.7675860199
163	0.7674304241
164	0.7672088918
165	0.7669965011
166	0.7667737463
167	0.7665544964
168	0.7662225384
169	0.7659839838
170	0.7656948982
171	0.76555946
172	0.7652959812
173	0.7651929897
174	0.7649464464
175	0.7647161821
176	0.7644947584
177	0.7643251898
178	0.7641180252
179	0.7639611485
180	0.7636456609
181	0.7634727932
182	0.7633095734
183	0.7631676402
184	0.7629733871
185	0.7627968341
186	0.7625199727
187	0.7624555304
188	0.7622276713
189	0.762029002
190	0.7616712711
191	0.7615416998
192	0.7612725749
193	0.7609097649
194	0.7607709902
195	0.7607249136
196	0.7604657583
197	0.7604359236
